Unnamed: 0,DATE,OrderNumber,SKU,PCS,ReferenceID,Location,Alley_Number,Cellule,Coord,AlleyCell,x,y
61,12/11/2018,3780364,SKU_0105,3,REF_SKU_0105,LOC_SKU_0105,4,13,"[20.0, 29.1]",A2029,20.0,29.1
62,12/11/2018,3780280,SKU_0032,5,REF_SKU_0032,LOC_SKU_0032,8,14,"[40.0, 30.9]",A4031,40.0,30.9
63,12/11/2018,3780593,SKU_0104,5,REF_SKU_0104,LOC_SKU_0104,10,25,"[50.0, 49.2]",A5049,50.0,49.2
64,12/11/2018,3780714,SKU_0005,2,REF_SKU_0005,LOC_SKU_0005,8,8,"[40.0, 20.4]",A4020,40.0,20.4
65,12/11/2018,3780158,SKU_0001,2,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
66,12/11/2018,3780632,SKU_0052,3,REF_SKU_0052,LOC_SKU_0052,3,19,"[15.0, 39.4]",A1539,15.0,39.4
67,12/11/2018,3780059,SKU_0004,4,REF_SKU_0004,LOC_SKU_0004,7,1,"[35.0, 8.1]",A3508,35.0,8.1
68,12/11/2018,3780727,SKU_0031,2,REF_SKU_0031,LOC_SKU_0031,4,15,"[20.0, 32.1]",A2032,20.0,32.1
69,12/11/2018,3780128,SKU_0002,3,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
70,12/11/2018,3780736,SKU_0001,1,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
71,12/11/2018,3780721,SKU_0466,5,REF_SKU_0466,LOC_SKU_0466,9,22,"[45.0, 43.9]",A4544,45.0,43.9
72,12/11/2018,3780882,SKU_0001,4,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
73,12/11/2018,3780115,SKU_0448,3,REF_SKU_0448,LOC_SKU_0448,8,22,"[40.0, 44.3]",A4044,40.0,44.3
74,12/11/2018,3780209,SKU_0402,1,REF_SKU_0402,LOC_SKU_0402,3,9,"[15.0, 21.0]",A1521,15.0,21.0
75,12/11/2018,3780526,SKU_0081,5,REF_SKU_0081,LOC_SKU_0081,8,1,"[40.0, 7.1]",A4007,40.0,7.1
76,12/11/2018,3780521,SKU_0029,1,REF_SKU_0029,LOC_SKU_0029,2,19,"[10.0, 40.0]",A1040,10.0,40.0
77,12/11/2018,3780552,SKU_0016,3,REF_SKU_0016,LOC_SKU_0016,3,22,"[15.0, 43.8]",A1544,15.0,43.8
78,12/11/2018,3780962,SKU_0147,2,REF_SKU_0147,LOC_SKU_0147,10,22,"[50.0, 44.5]",A5044,50.0,44.5
79,12/11/2018,3780237,SKU_0003,5,REF_SKU_0003,LOC_SKU_0003,7,11,"[35.0, 25.3]",A3525,35.0,25.3
80,12/11/2018,3780281,SKU_0008,1,REF_SKU_0008,LOC_SKU_0008,8,21,"[40.0, 42.5]",A4042,40.0,42.5
81,12/11/2018,3780359,SKU_0022,2,REF_SKU_0022,LOC_SKU_0022,4,6,"[20.0, 16.2]",A2016,20.0,16.2
82,12/11/2018,3780201,SKU_0005,4,REF_SKU_0005,LOC_SKU_0005,8,8,"[40.0, 20.4]",A4020,40.0,20.4
83,12/11/2018,3780758,SKU_0006,3,REF_SKU_0006,LOC_SKU_0006,8,18,"[40.0, 37.0]",A4037,40.0,37.0
84,12/11/2018,3780278,SKU_0003,3,REF_SKU_0003,LOC_SKU_0003,7,11,"[35.0, 25.3]",A3525,35.0,25.3
85,12/11/2018,3780235,SKU_0015,5,REF_SKU_0015,LOC_SKU_0015,4,15,"[20.0, 31.9]",A2032,20.0,31.9
86,12/11/2018,3780494,SKU_0129,1,REF_SKU_0129,LOC_SKU_0129,3,22,"[15.0, 45.2]",A1545,15.0,45.2
87,12/11/2018,3780004,SKU_0002,4,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
88,12/11/2018,3780666,SKU_0270,5,REF_SKU_0270,LOC_SKU_0270,2,4,"[10.0, 12.9]",A1013,10.0,12.9
89,12/11/2018,3780442,SKU_0036,5,REF_SKU_0036,LOC_SKU_0036,8,9,"[40.0, 21.4]",A4021,40.0,21.4
90,12/11/2018,3780029,SKU_0103,1,REF_SKU_0103,LOC_SKU_0103,10,6,"[50.0, 17.0]",A5017,50.0,17.0
91,12/11/2018,3780109,SKU_0014,4,REF_SKU_0014,LOC_SKU_0014,3,10,"[15.0, 22.5]",A1522,15.0,22.5
92,12/11/2018,3780610,SKU_0072,1,REF_SKU_0072,LOC_SKU_0072,9,12,"[45.0, 27.1]",A4527,45.0,27.1
93,12/11/2018,3780727,SKU_0001,3,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
94,12/11/2018,3780805,SKU_0099,2,REF_SKU_0099,LOC_SKU_0099,8,10,"[40.0, 22.7]",A4023,40.0,22.7
95,12/11/2018,3780075,SKU_0001,3,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
96,12/11/2018,3780838,SKU_0181,3,REF_SKU_0181,LOC_SKU_0181,8,23,"[40.0, 47.1]",A4047,40.0,47.1
97,12/11/2018,3780146,SKU_0463,5,REF_SKU_0463,LOC_SKU_0463,10,20,"[50.0, 41.2]",A5041,50.0,41.2
98,12/11/2018,3780128,SKU_0003,3,REF_SKU_0003,LOC_SKU_0003,7,11,"[35.0, 25.3]",A3525,35.0,25.3
99,12/11/2018,3780853,SKU_0002,4,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
100,12/11/2018,3780042,SKU_0064,3,REF_SKU_0064,LOC_SKU_0064,9,3,"[45.0, 10.2]",A4510,45.0,10.2
101,12/11/2018,3780356,SKU_0002,4,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
102,12/11/2018,3780041,SKU_0147,1,REF_SKU_0147,LOC_SKU_0147,10,22,"[50.0, 44.5]",A5044,50.0,44.5
103,12/11/2018,3780934,SKU_0001,5,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
104,12/11/2018,3780034,SKU_0001,4,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
105,12/11/2018,3780017,SKU_0410,3,REF_SKU_0410,LOC_SKU_0410,5,5,"[25.0, 14.5]",A2514,25.0,14.5
106,12/11/2018,3780677,SKU_0032,5,REF_SKU_0032,LOC_SKU_0032,8,14,"[40.0, 30.9]",A4031,40.0,30.9
107,12/11/2018,3780153,SKU_0125,5,REF_SKU_0125,LOC_SKU_0125,1,14,"[5.0, 29.6]",A0530,5.0,29.6
108,12/11/2018,3780998,SKU_0003,4,REF_SKU_0003,LOC_SKU_0003,7,11,"[35.0, 25.3]",A3525,35.0,25.3
109,12/11/2018,3780378,SKU_0033,4,REF_SKU_0033,LOC_SKU_0033,9,24,"[45.0, 48.3]",A4548,45.0,48.3
110,12/11/2018,3780588,SKU_0018,2,REF_SKU_0018,LOC_SKU_0018,7,0,"[35.0, 6.1]",A3506,35.0,6.1
111,12/11/2018,3780599,SKU_0019,2,REF_SKU_0019,LOC_SKU_0019,9,24,"[45.0, 48.5]",A4548,45.0,48.5
112,12/11/2018,3780629,SKU_0034,5,REF_SKU_0034,LOC_SKU_0034,5,10,"[25.0, 22.8]",A2523,25.0,22.8
113,12/11/2018,3780874,SKU_0016,2,REF_SKU_0016,LOC_SKU_0016,3,22,"[15.0, 43.8]",A1544,15.0,43.8
114,12/11/2018,3780342,SKU_0006,3,REF_SKU_0006,LOC_SKU_0006,8,18,"[40.0, 37.0]",A4037,40.0,37.0
115,12/11/2018,3780981,SKU_0002,1,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
116,12/11/2018,3780027,SKU_0066,5,REF_SKU_0066,LOC_SKU_0066,10,3,"[50.0, 10.9]",A5011,50.0,10.9
117,12/11/2018,3780825,SKU_0002,1,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
118,12/11/2018,3780287,SKU_0037,2,REF_SKU_0037,LOC_SKU_0037,9,7,"[45.0, 18.7]",A4519,45.0,18.7
119,12/11/2018,3780646,SKU_0002,4,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
120,12/11/2018,3780731,SKU_0023,5,REF_SKU_0023,LOC_SKU_0023,7,15,"[35.0, 32.6]",A3533,35.0,32.6
121,12/11/2018,3780168,SKU_0056,2,REF_SKU_0056,LOC_SKU_0056,3,1,"[15.0, 6.9]",A1507,15.0,6.9
122,12/11/2018,3780610,SKU_0002,3,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
123,12/11/2018,3780268,SKU_0001,5,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
124,12/11/2018,3780749,SKU_0001,5,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
125,12/11/2018,3780821,SKU_0020,4,REF_SKU_0020,LOC_SKU_0020,2,10,"[10.0, 22.7]",A1023,10.0,22.7
126,12/11/2018,3780455,SKU_0128,5,REF_SKU_0128,LOC_SKU_0128,6,24,"[30.0, 49.1]",A3049,30.0,49.1
127,12/11/2018,3780906,SKU_0001,4,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
128,12/11/2018,3780685,SKU_0050,2,REF_SKU_0050,LOC_SKU_0050,3,12,"[15.0, 26.5]",A1526,15.0,26.5
129,12/11/2018,3780401,SKU_0004,3,REF_SKU_0004,LOC_SKU_0004,7,1,"[35.0, 8.1]",A3508,35.0,8.1
130,12/11/2018,3780922,SKU_0008,3,REF_SKU_0008,LOC_SKU_0008,8,21,"[40.0, 42.5]",A4042,40.0,42.5
131,12/11/2018,3780981,SKU_0257,5,REF_SKU_0257,LOC_SKU_0257,2,12,"[10.0, 26.4]",A1026,10.0,26.4
132,12/11/2018,3780476,SKU_0003,5,REF_SKU_0003,LOC_SKU_0003,7,11,"[35.0, 25.3]",A3525,35.0,25.3
133,12/11/2018,3780702,SKU_0008,2,REF_SKU_0008,LOC_SKU_0008,8,21,"[40.0, 42.5]",A4042,40.0,42.5
134,12/11/2018,3780634,SKU_0001,4,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
135,12/11/2018,3780558,SKU_0001,3,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
136,12/11/2018,3780576,SKU_0002,4,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
137,12/11/2018,3780130,SKU_0001,2,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
138,12/11/2018,3780822,SKU_0023,3,REF_SKU_0023,LOC_SKU_0023,7,15,"[35.0, 32.6]",A3533,35.0,32.6
139,12/11/2018,3780363,SKU_0006,3,REF_SKU_0006,LOC_SKU_0006,8,18,"[40.0, 37.0]",A4037,40.0,37.0
140,12/11/2018,3780705,SKU_0013,1,REF_SKU_0013,LOC_SKU_0013,10,1,"[50.0, 7.6]",A5008,50.0,7.6
141,12/11/2018,3780819,SKU_0001,2,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
142,12/11/2018,3780693,SKU_0003,2,REF_SKU_0003,LOC_SKU_0003,7,11,"[35.0, 25.3]",A3525,35.0,25.3
143,12/11/2018,3780292,SKU_0030,1,REF_SKU_0030,LOC_SKU_0030,2,10,"[10.0, 23.1]",A1023,10.0,23.1
144,12/11/2018,3780371,SKU_0359,4,REF_SKU_0359,LOC_SKU_0359,9,18,"[45.0, 38.3]",A4538,45.0,38.3
145,12/11/2018,3780794,SKU_0001,1,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
146,12/11/2018,3780029,SKU_0182,2,REF_SKU_0182,LOC_SKU_0182,1,24,"[5.0, 48.0]",A0548,5.0,48.0
147,12/11/2018,3780149,SKU_0016,4,REF_SKU_0016,LOC_SKU_0016,3,22,"[15.0, 43.8]",A1544,15.0,43.8
148,12/11/2018,3780779,SKU_0015,3,REF_SKU_0015,LOC_SKU_0015,4,15,"[20.0, 31.9]",A2032,20.0,31.9
149,12/11/2018,3780296,SKU_0010,1,REF_SKU_0010,LOC_SKU_0010,5,15,"[25.0, 33.0]",A2533,25.0,33.0
150,12/11/2018,3780011,SKU_0001,4,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
151,12/11/2018,3780512,SKU_0001,4,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
152,12/11/2018,3780676,SKU_0019,4,REF_SKU_0019,LOC_SKU_0019,9,24,"[45.0, 48.5]",A4548,45.0,48.5
153,12/11/2018,3780113,SKU_0004,1,REF_SKU_0004,LOC_SKU_0004,7,1,"[35.0, 8.1]",A3508,35.0,8.1
154,12/11/2018,3780187,SKU_0231,3,REF_SKU_0231,LOC_SKU_0231,4,14,"[20.0, 31.0]",A2031,20.0,31.0
155,12/11/2018,3780807,SKU_0005,4,REF_SKU_0005,LOC_SKU_0005,8,8,"[40.0, 20.4]",A4020,40.0,20.4
156,12/11/2018,3780744,SKU_0001,1,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
157,12/11/2018,3780227,SKU_0043,2,REF_SKU_0043,LOC_SKU_0043,5,23,"[25.0, 46.7]",A2547,25.0,46.7
158,12/11/2018,3780310,SKU_0003,1,REF_SKU_0003,LOC_SKU_0003,7,11,"[35.0, 25.3]",A3525,35.0,25.3
159,12/11/2018,3780098,SKU_0011,1,REF_SKU_0011,LOC_SKU_0011,10,13,"[50.0, 28.9]",A5029,50.0,28.9
160,12/11/2018,3780055,SKU_0038,1,REF_SKU_0038,LOC_SKU_0038,1,0,"[5.0, 6.2]",A0506,5.0,6.2
161,12/11/2018,3780623,SKU_0199,4,REF_SKU_0199,LOC_SKU_0199,4,15,"[20.0, 32.9]",A2033,20.0,32.9
162,12/11/2018,3780664,SKU_0080,1,REF_SKU_0080,LOC_SKU_0080,1,4,"[5.0, 12.1]",A0512,5.0,12.1
163,12/11/2018,3780758,SKU_0033,2,REF_SKU_0033,LOC_SKU_0033,9,24,"[45.0, 48.3]",A4548,45.0,48.3
164,12/11/2018,3780406,SKU_0033,4,REF_SKU_0033,LOC_SKU_0033,9,24,"[45.0, 48.3]",A4548,45.0,48.3
165,12/11/2018,3780069,SKU_0300,2,REF_SKU_0300,LOC_SKU_0300,1,13,"[5.0, 29.3]",A0529,5.0,29.3
166,12/11/2018,3780312,SKU_0003,5,REF_SKU_0003,LOC_SKU_0003,7,11,"[35.0, 25.3]",A3525,35.0,25.3
167,12/11/2018,3780289,SKU_0001,1,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
168,12/11/2018,3780762,SKU_0002,4,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
169,12/11/2018,3780548,SKU_0002,4,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
170,12/11/2018,3780751,SKU_0029,1,REF_SKU_0029,LOC_SKU_0029,2,19,"[10.0, 40.0]",A1040,10.0,40.0
171,12/11/2018,3780148,SKU_0024,3,REF_SKU_0024,LOC_SKU_0024,8,1,"[40.0, 7.0]",A4007,40.0,7.0
172,12/11/2018,3780467,SKU_0018,3,REF_SKU_0018,LOC_SKU_0018,7,0,"[35.0, 6.1]",A3506,35.0,6.1
173,12/11/2018,3780739,SKU_0001,2,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
174,12/11/2018,3780244,SKU_0048,1,REF_SKU_0048,LOC_SKU_0048,8,17,"[40.0, 35.1]",A4035,40.0,35.1
175,12/11/2018,3780491,SKU_0003,1,REF_SKU_0003,LOC_SKU_0003,7,11,"[35.0, 25.3]",A3525,35.0,25.3
176,12/11/2018,3780849,SKU_0030,5,REF_SKU_0030,LOC_SKU_0030,2,10,"[10.0, 23.1]",A1023,10.0,23.1
177,12/11/2018,3780958,SKU_0014,3,REF_SKU_0014,LOC_SKU_0014,3,10,"[15.0, 22.5]",A1522,15.0,22.5
178,12/11/2018,3780507,SKU_0004,3,REF_SKU_0004,LOC_SKU_0004,7,1,"[35.0, 8.1]",A3508,35.0,8.1
179,12/11/2018,3780365,SKU_0001,1,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
180,12/11/2018,3780482,SKU_0001,2,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
181,12/11/2018,3780201,SKU_0110,1,REF_SKU_0110,LOC_SKU_0110,3,21,"[15.0, 43.6]",A1544,15.0,43.6
182,12/11/2018,3780154,SKU_0234,2,REF_SKU_0234,LOC_SKU_0234,5,19,"[25.0, 39.0]",A2539,25.0,39.0
183,12/11/2018,3780450,SKU_0027,3,REF_SKU_0027,LOC_SKU_0027,6,5,"[30.0, 14.8]",A3015,30.0,14.8
184,12/11/2018,3780501,SKU_0001,5,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
185,12/11/2018,3780073,SKU_0005,4,REF_SKU_0005,LOC_SKU_0005,8,8,"[40.0, 20.4]",A4020,40.0,20.4
186,12/11/2018,3780713,SKU_0048,3,REF_SKU_0048,LOC_SKU_0048,8,17,"[40.0, 35.1]",A4035,40.0,35.1
187,12/11/2018,3780296,SKU_0072,2,REF_SKU_0072,LOC_SKU_0072,9,12,"[45.0, 27.1]",A4527,45.0,27.1
188,12/11/2018,3780017,SKU_0001,1,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
189,12/11/2018,3780641,SKU_0001,3,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
190,12/11/2018,3780217,SKU_0043,5,REF_SKU_0043,LOC_SKU_0043,5,23,"[25.0, 46.7]",A2547,25.0,46.7
191,12/11/2018,3780061,SKU_0004,2,REF_SKU_0004,LOC_SKU_0004,7,1,"[35.0, 8.1]",A3508,35.0,8.1
192,12/11/2018,3780939,SKU_0002,1,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
193,12/11/2018,3780616,SKU_0001,4,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
194,12/11/2018,3780042,SKU_0013,2,REF_SKU_0013,LOC_SKU_0013,10,1,"[50.0, 7.6]",A5008,50.0,7.6
